Time,Discharge(m^3 s^-1),Observed(m^3 s^-1),Precip(mm h^-1),PET(mm h^-1),SM(%),Fast Flow(mm*1000),Slow Flow(mm*1000)
2003-01-01 00:00,101.22,169.10,0.00,2.12,2.29,0.0000,0.0000
2003-01-01 03:00,100.69,nan,0.00,2.17,2.07,0.0000,0.0000
2003-01-01 06:00,100.15,nan,0.00,2.17,1.87,0.0000,0.0000
2003-01-01 09:00,99.59,nan,0.01,2.17,1.69,0.0000,0.0000
2003-01-01 12:00,98.99,nan,0.10,2.17,1.54,0.0000,0.0000
2003-01-01 15:00,98.42,nan,0.46,2.17,1.71,0.0120,0.0001
2003-01-01 18:00,97.97,nan,0.03,2.17,1.54,0.0000,0.0000
2003-01-01 21:00,97.70,nan,0.00,2.17,1.39,0.0000,0.0000
2003-01-02 00:00,97.52,152.60,0.01,2.17,1.26,0.0000,0.0000
2003-01-02 03:00,97.34,nan,0.00,2.17,1.13,0.0000,0.0000
2003-01-02 06:00,97.07,nan,0.01,2.17,1.02,0.0000,0.0000
2003-01-02 09:00,96.66,nan,0.00,2.17,0.93,0.0000,0.0000
2003-01-02 12:00,96.10,nan,0.00,2.17,0.84,0.0000,0.0000
2003-01-02 15:00,102.25,nan,0.81,2.17,2.17,0.0367,0.0003
2003-01-02 18:00,105.46,nan,0.01,2.17,1.94,0.0000,0.0000
2003-01-02 21:00,106.48,nan,0.00,2.17,1.74,0.0000,0.0000
2003-01-03 00:00,106.18,174.90,0.00,2.17,1.56,0.0000,0.0000
2003-01-03 03:00,105.21,nan,0.02,2.17,1.40,0.0000,0.0000
2003-01-03 06:00,103.92,nan,0.00,2.17,1.26,0.0000,0.0000
2003-01-03 09:00,102.51,nan,0.00,2.17,1.13,0.0000,0.0000
2003-01-03 12:00,101.08,nan,0.26,2.17,1.02,0.0000,0.0000
2003-01-03 15:00,99.68,nan,0.21,2.17,1.02,0.0032,0.0000
2003-01-03 18:00,98.35,nan,0.18,2.17,1.00,0.0004,0.0000
2003-01-03 21:00,101.45,nan,0.44,2.17,1.52,0.0166,0.0002
2003-01-04 00:00,102.62,183.70,0.03,2.17,1.36,0.0000,0.0000
2003-01-04 03:00,102.47,nan,0.05,2.17,1.24,0.0000,0.0000
2003-01-04 06:00,101.62,nan,0.01,2.17,1.12,0.0000,0.0000
2003-01-04 09:00,100.45,nan,0.00,2.17,1.00,0.0000,0.0000
2003-01-04 12:00,99.14,nan,0.00,2.17,0.90,0.0000,0.0000
2003-01-04 15:00,97.82,nan,0.09,2.17,0.80,0.0000,0.0000
2003-01-04 18:00,96.50,nan,0.12,2.17,0.72,0.0000,0.0000
2003-01-04 21:00,95.22,nan,0.09,2.17,0.65,0.0000,0.0000
2003-01-05 00:00,93.98,178.80,0.00,2.17,0.58,0.0000,0.0000
2003-01-05 03:00,92.78,nan,0.00,2.17,0.52,0.0000,0.0000
2003-01-05 06:00,91.62,nan,0.00,2.17,0.47,0.0000,0.0000
2003-01-05 09:00,90.49,nan,0.00,2.17,0.42,0.0000,0.0000
2003-01-05 12:00,89.40,nan,0.07,2.17,0.38,0.0000,0.0000
2003-01-05 15:00,88.48,nan,0.40,2.17,0.66,0.0078,0.0001
2003-01-05 18:00,87.70,nan,0.04,2.17,0.59,0.0000,0.0000
2003-01-05 21:00,86.97,nan,0.00,2.17,0.52,0.0000,0.0000
2003-01-06 00:00,86.24,166.00,0.00,2.17,0.47,0.0000,0.0000
2003-01-06 03:00,85.48,nan,0.00,2.17,0.42,0.0000,0.0000
2003-01-06 06:00,84.69,nan,0.01,2.17,0.37,0.0000,0.0000
2003-01-06 09:00,83.87,nan,0.00,2.17,0.34,0.0000,0.0000
2003-01-06 12:00,83.05,nan,0.07,2.17,0.30,0.0000,0.0000
2003-01-06 15:00,82.22,nan,0.06,2.17,0.27,0.0000,0.0000
2003-01-06 18:00,81.40,nan,0.02,2.17,0.24,0.0000,0.0000
2003-01-06 21:00,80.59,nan,0.00,2.17,0.22,0.0000,0.0000
2003-01-07 00:00,79.79,141.10,0.00,2.17,0.19,0.0000,0.0000
2003-01-07 03:00,79.01,nan,0.01,2.17,0.17,0.0000,0.0000
2003-01-07 06:00,78.24,nan,0.03,2.17,0.15,0.0000,0.0000
2003-01-07 09:00,77.48,nan,0.00,2.17,0.14,0.0000,0.0000
2003-01-07 12:00,76.73,nan,0.00,2.17,0.12,0.0000,0.0000
2003-01-07 15:00,75.99,nan,0.02,2.17,0.11,0.0000,0.0000
2003-01-07 18:00,75.27,nan,0.01,2.17,0.10,0.0000,0.0000
2003-01-07 21:00,74.56,nan,0.00,2.17,0.09,0.0000,0.0000
2003-01-08 00:00,73.86,123.20,0.00,2.17,0.08,0.0000,0.0000
2003-01-08 03:00,73.17,nan,0.00,2.17,0.07,0.0000,0.0000
2003-01-08 06:00,72.49,nan,0.00,2.17,0.06,0.0000,0.0000
2003-01-08 09:00,71.82,nan,0.00,2.17,0.06,0.0000,0.0000
2003-01-08 12:00,71.16,nan,0.00,2.17,0.05,0.0000,0.0000
2003-01-08 15:00,70.52,nan,0.08,2.17,0.05,0.0000,0.0000
2003-01-08 18:00,69.88,nan,0.16,2.17,0.05,0.0001,0.0000
2003-01-08 21:00,69.25,nan,0.00,2.17,0.04,0.0000,0.0000
2003-01-09 00:00,68.63,103.20,0.00,2.17,0.04,0.0000,0.0000
2003-01-09 03:00,68.01,nan,0.00,2.17,0.03,0.0000,0.0000
2003-01-09 06:00,67.41,nan,0.01,2.17,0.03,0.0000,0.0000
2003-01-09 09:00,66.82,nan,0.00,2.17,0.03,0.0000,0.0000
2003-01-09 12:00,66.23,nan,0.00,2.17,0.02,0.0000,0.0000
2003-01-09 15:00,65.66,nan,0.01,2.17,0.02,0.0000,0.0000
2003-01-09 18:00,65.09,nan,0.00,2.17,0.02,0.0000,0.0000
2003-01-09 21:00,64.53,nan,0.00,2.17,0.02,0.0000,0.0000
2003-01-10 00:00,63.97,91.70,0.00,2.17,0.02,0.0000,0.0000
2003-01-10 03:00,63.43,nan,0.03,2.17,0.01,0.0000,0.0000
2003-01-10 06:00,62.88,nan,0.00,2.17,0.01,0.0000,0.0000
2003-01-10 09:00,62.35,nan,0.00,2.17,0.01,0.0000,0.0000
2003-01-10 12:00,61.83,nan,0.00,2.17,0.01,0.0000,0.0000
2003-01-10 15:00,61.31,nan,0.00,2.17,0.01,0.0000,0.0000
2003-01-10 18:00,60.79,nan,0.01,2.17,0.01,0.0000,0.0000
2003-01-10 21:00,60.29,nan,0.00,2.17,0.01,0.0000,0.0000
2003-01-11 00:00,59.79,83.20,0.00,2.17,0.01,0.0000,0.0000
2003-01-11 03:00,59.29,nan,0.03,2.17,0.01,0.0000,0.0000
2003-01-11 06:00,58.81,nan,0.03,2.17,0.01,0.0000,0.0000
2003-01-11 09:00,58.33,nan,0.01,2.17,0.00,0.0000,0.0000
2003-01-11 12:00,57.85,nan,0.00,2.17,0.00,0.0000,0.0000
2003-01-11 15:00,57.38,nan,0.00,2.17,0.00,0.0000,0.0000
